c.basic-io.base7-1;student1;student2;0;0.998392
c.basic-io.base7-1;student3;student4;1;0.782946
c.basic-io.base7-1;student5;student6;25;0.269316
c.basic-io.base7-1;student3;student7;28;0.181354
c.basic-io.base7-1;student3;student8;29;0.392924
c.basic-io.base7-1;student3;student9;29;0.585742
c.basic-io.base7-1;student10;student9;29;0.368142
c.basic-io.base7-1;student7;student4;29;0.176245
c.basic-io.base7-1;student9;student4;30;0.56203
c.basic-io.base7-1;student4;student11;30;0.555556
c.basic-io.base7-1;student8;student4;30;0.464088
c.basic-io.base7-1;student12;student9;30;0.318555
c.basic-io.base7-1;student13;student14;31;0.564626
c.basic-io.base7-1;student3;student11;31;0.584906
c.basic-io.base7-1;student10;student11;31;0.370497
c.basic-io.base7-1;student15;student4;31;0.406632
c.basic-io.base7-1;student16;student6;32;0.331683
c.basic-io.base7-1;student17;student6;32;0.331683
c.basic-io.base7-1;student18;student6;32;0.328431
c.basic-io.base7-1;student3;student15;32;0.5
c.basic-io.base7-1;student8;student19;32;0.363487
c.basic-io.base7-1;student8;student7;32;0.169884
c.basic-io.base7-1;student20;student14;33;0.423645
c.basic-io.base7-1;student8;student9;33;0.265918
c.basic-io.base7-1;student3;student10;34;0.503521
c.basic-io.base7-1;student12;student11;34;0.311582
c.basic-io.base7-1;student21;student14;34;0.423453
c.basic-io.base7-1;student22;student23;34;0.544444
c.basic-io.base7-1;student13;student3;35;0.505837
c.basic-io.base7-1;student13;student24;35;0.331269
c.basic-io.base7-1;student10;student4;35;0.550877
c.basic-io.base7-1;student8;student11;35;0.256014
c.basic-io.base7-1;student25;student6;35;0.477454
c.basic-io.base7-1;student20;student13;36;0.550802
c.basic-io.base7-1;student13;student4;36;0.509399
c.basic-io.base7-1;student7;student9;36;0.149871
c.basic-io.base7-1;student12;student26;36;0.282095
c.basic-io.base7-1;student27;student14;36;0.438095
c.basic-io.base7-1;student28;student15;36;0.438028
c.basic-io.base7-1;student13;student21;37;0.550265
c.basic-io.base7-1;student7;student29;37;0.154948
c.basic-io.base7-1;student8;student10;37;0.391459
c.basic-io.base7-1;student30;student8;37;0.431373
c.basic-io.base7-1;student24;student14;37;0.389062
c.basic-io.base7-1;student20;student27;38;0.516447
c.basic-io.base7-1;student31;student32;38;0.169975
c.basic-io.base7-1;student8;student29;38;0.433071
c.basic-io.base7-1;student25;student5;38;0.346535
c.basic-io.base7-1;student12;student3;38;0.352846
c.basic-io.base7-1;student20;student33;39;0.541463
c.basic-io.base7-1;student13;student33;39;0.552158
c.basic-io.base7-1;student21;student27;39;0.479936
c.basic-io.base7-1;student11;student19;39;0.422509
c.basic-io.base7-1;student12;student4;39;0.446844
c.basic-io.base7-1;student27;student34;40;0.299866
c.basic-io.base7-1;student35;student36;40;0.605388
c.basic-io.base7-1;student7;student11;40;0.177378
c.basic-io.base7-1;student18;student37;40;0.257235
c.basic-io.base7-1;student26;student4;40;0.488636
c.basic-io.base7-1;student12;student8;40;0.386838
c.basic-io.base7-1;student34;student24;40;0.380556
c.basic-io.base7-1;student15;student8;40;0.451202
c.basic-io.base7-1;student38;student39;40;0.569157
c.basic-io.base7-1;student33;student21;40;0.535831
c.basic-io.base7-1;student13;student34;40;0.366158
c.basic-io.base7-1;student16;student37;40;0.270833
c.basic-io.base7-1;student40;student41;40;0.456814
c.basic-io.base7-1;student13;student42;40;0.223001
c.basic-io.base7-1;student17;student37;40;0.270833
c.basic-io.base7-1;student30;student7;40;0.240669
c.basic-io.base7-1;student26;student3;41;0.535922
c.basic-io.base7-1;student40;student14;41;0.444828
c.basic-io.base7-1;student13;student12;41;0.368771
c.basic-io.base7-1;student13;student43;41;0.379368
c.basic-io.base7-1;student13;student7;41;0.157088
c.basic-io.base7-1;student44;student25;41;0.572797
c.basic-io.base7-1;student3;student24;41;0.282209
c.basic-io.base7-1;student28;student7;41;0.208651
c.basic-io.base7-1;student45;student15;41;0.455081
c.basic-io.base7-1;student13;student27;42;0.417678
c.basic-io.base7-1;student44;student6;42;0.216216
c.basic-io.base7-1;student26;student10;42;0.409982
c.basic-io.base7-1;student3;student19;42;0.425688
c.basic-io.base7-1;student9;student19;42;0.439479
c.basic-io.base7-1;student4;student24;42;0.260935
c.basic-io.base7-1;student4;student19;42;0.459707
c.basic-io.base7-1;student27;student24;42;0.446617
c.basic-io.base7-1;student45;student3;42;0.473595
c.basic-io.base7-1;student46;student9;43;0.431767
c.basic-io.base7-1;student47;student11;43;0.229607
c.basic-io.base7-1;student16;student5;43;0.296443
c.basic-io.base7-1;student17;student5;43;0.296443
c.basic-io.base7-1;student41;student48;43;0.44717
c.basic-io.base7-1;student18;student5;43;0.298419
c.basic-io.base7-1;student12;student7;43;0.296345
c.basic-io.base7-1;student37;student6;43;0.172859
c.basic-io.base7-1;student3;student49;43;0.470588
c.basic-io.base7-1;student15;student11;43;0.315868
c.basic-io.base7-1;student15;student9;43;0.252087
c.basic-io.base7-1;student15;student7;43;0.262148
c.basic-io.base7-1;student15;student49;43;0.480114
c.basic-io.base7-1;student33;student24;43;0.283262
c.basic-io.base7-1;student45;student4;43;0.474576
c.basic-io.base7-1;student30;student12;43;0.35748
c.basic-io.base7-1;student3;student14;44;0.317434
c.basic-io.base7-1;student34;student14;44;0.329268
c.basic-io.base7-1;student14;student48;44;0.433447
c.basic-io.base7-1;student49;student4;44;0.47395
c.basic-io.base7-1;student49;student7;44;0.193421
c.basic-io.base7-1;student39;student9;44;0.49497
c.basic-io.base7-1;student33;student15;44;0.340136
c.basic-io.base7-1;student28;student4;44;0.514925
c.basic-io.base7-1;student28;student3;44;0.467167
c.basic-io.base7-1;student44;student35;45;0.509804
c.basic-io.base7-1;student20;student34;45;0.316216
c.basic-io.base7-1;student13;student8;45;0.362934
c.basic-io.base7-1;student17;student25;45;0.32549
c.basic-io.base7-1;student43;student24;45;0.421779
c.basic-io.base7-1;student30;student3;45;0.258427
c.basic-io.base7-1;student16;student25;45;0.32549
c.basic-io.base7-1;student50;student15;45;0.345855
c.basic-io.base7-1;student51;student15;45;0.345408
c.basic-io.base7-1;student43;student14;45;0.465686
c.basic-io.base7-1;student52;student6;45;0.352436
c.basic-io.base7-1;student4;student14;45;0.459866
c.basic-io.base7-1;student49;student11;45;0.336634
c.basic-io.base7-1;student15;student19;45;0.25
c.basic-io.base7-1;student15;student10;45;0.440061
c.basic-io.base7-1;student25;student53;45;0.451264
c.basic-io.base7-1;student18;student25;45;0.324853
c.basic-io.base7-1;student45;student54;45;0.383405
c.basic-io.base7-1;student8;student49;45;0.353583
c.basic-io.base7-1;student21;student34;46;0.318489
c.basic-io.base7-1;student20;student24;46;0.319055
c.basic-io.base7-1;student50;student4;46;0.229555
c.basic-io.base7-1;student51;student4;46;0.229226
c.basic-io.base7-1;student35;student6;46;0.295011
c.basic-io.base7-1;student10;student7;46;0.314694
c.basic-io.base7-1;student31;student29;46;0.432773
c.basic-io.base7-1;student7;student14;46;0.259502
c.basic-io.base7-1;student39;student10;46;0.45045
c.basic-io.base7-1;student15;student55;46;0.432773
c.basic-io.base7-1;student3;student29;46;0.49522
c.basic-io.base7-1;student12;student27;46;0.377451
c.basic-io.base7-1;student12;student29;46;0.353821
c.basic-io.base7-1;student26;student8;46;0.321839
c.basic-io.base7-1;student25;student29;46;0.331942
c.basic-io.base7-1;student25;student37;46;0.240385
c.basic-io.base7-1;student12;student14;46;0.405892
c.basic-io.base7-1;student38;student15;46;0.378082
c.basic-io.base7-1;student15;student56;46;0.347411
c.basic-io.base7-1;student9;student47;46;0.184569
c.basic-io.base7-1;student4;student42;46;0.301389
c.basic-io.base7-1;student42;student14;46;0.342857
c.basic-io.base7-1;student45;student7;46;0.275578
c.basic-io.base7-1;student30;student4;46;0.5
c.basic-io.base7-1;student57;student58;46;0.23741
c.basic-io.base7-1;student46;student11;47;0.336252
c.basic-io.base7-1;student59;student9;47;0.35175
c.basic-io.base7-1;student32;student9;47;0.155696
c.basic-io.base7-1;student51;student9;47;0.186418
c.basic-io.base7-1;student51;student3;47;0.164439
c.basic-io.base7-1;student50;student9;47;0.186667
c.basic-io.base7-1;student50;student3;47;0.164659
c.basic-io.base7-1;student16;student60;47;0.201493
c.basic-io.base7-1;student61;student4;47;0.274453
c.basic-io.base7-1;student59;student47;47;0.368512
c.basic-io.base7-1;student17;student60;47;0.201493
c.basic-io.base7-1;student60;student18;47;0.201192
c.basic-io.base7-1;student31;student10;47;0.430823
c.basic-io.base7-1;student12;student32;47;0.237437
c.basic-io.base7-1;student12;student10;47;0.366013
c.basic-io.base7-1;student12;student49;47;0.354134
c.basic-io.base7-1;student12;student24;47;0.321538
c.basic-io.base7-1;student26;student49;47;0.433962
c.basic-io.base7-1;student26;student47;47;0.188361
c.basic-io.base7-1;student3;student31;47;0.47619
c.basic-io.base7-1;student3;student42;47;0.26257
c.basic-io.base7-1;student10;student14;47;0.416944
c.basic-io.base7-1;student21;student24;47;0.315556
c.basic-io.base7-1;student29;student4;47;0.531309
c.basic-io.base7-1;student29;student6;47;0.228512
c.basic-io.base7-1;student39;student11;47;0.465385
c.basic-io.base7-1;student15;student31;47;0.235659
c.basic-io.base7-1;student33;student14;47;0.332808
c.basic-io.base7-1;student33;student25;47;0.38294
c.basic-io.base7-1;student28;student8;47;0.39375
c.basic-io.base7-1;student28;student25;47;0.224458
c.basic-io.base7-1;student45;student8;47;0.303459
c.basic-io.base7-1;student30;student29;47;0.28
c.basic-io.base7-1;student59;student55;48;0.417219
c.basic-io.base7-1;student62;student9;48;0.346642
c.basic-io.base7-1;student9;student63;48;0.347905
c.basic-io.base7-1;student61;student3;48;0.265396
c.basic-io.base7-1;student50;student31;48;0.165113
c.basic-io.base7-1;student13;student10;48;0.429577
c.basic-io.base7-1;student59;student31;48;0.470803
c.basic-io.base7-1;student44;student37;48;0.248408
c.basic-io.base7-1;student44;student64;48;0.604569
c.basic-io.base7-1;student51;student31;48;0.164894
c.basic-io.base7-1;student26;student19;48;0.361905
c.basic-io.base7-1;student7;student27;48;0.167939
c.basic-io.base7-1;student31;student4;48;0.486085
c.basic-io.base7-1;student12;student55;48;0.381317
c.basic-io.base7-1;student35;student65;48;0.507225
c.basic-io.base7-1;student12;student43;48;0.333863
c.basic-io.base7-1;student12;student42;48;0.270636
c.basic-io.base7-1;student62;student47;48;0.367241
c.basic-io.base7-1;student37;student5;48;0.272162
c.basic-io.base7-1;student3;student39;48;0.375723
c.basic-io.base7-1;student3;student27;48;0.480702
c.basic-io.base7-1;student8;student32;48;0.180412
c.basic-io.base7-1;student8;student31;48;0.311558
c.basic-io.base7-1;student8;student14;48;0.2896
c.basic-io.base7-1;student31;student6;48;0.247379
c.basic-io.base7-1;student43;student42;48;0.317175
c.basic-io.base7-1;student7;student24;48;0.223919
c.basic-io.base7-1;student7;student42;48;0.352789
c.basic-io.base7-1;student29;student27;48;0.333333
c.basic-io.base7-1;student29;student14;48;0.344123
c.basic-io.base7-1;student4;student47;48;0.252976
c.basic-io.base7-1;student63;student47;48;0.367241
c.basic-io.base7-1;student24;student42;48;0.350975
c.basic-io.base7-1;student45;student32;48;0.228005
c.basic-io.base7-1;student30;student39;48;0.250407
c.basic-io.base7-1;student66;student11;48;0.289634
c.basic-io.base7-1;student62;student55;49;0.414474
c.basic-io.base7-1;student13;student9;49;0.447581
c.basic-io.base7-1;student59;student7;49;0.198276
c.basic-io.base7-1;student51;student11;49;0.174667
c.basic-io.base7-1;student50;student11;49;0.1749
c.basic-io.base7-1;student62;student31;49;0.471014
c.basic-io.base7-1;student55;student63;49;0.412439
c.basic-io.base7-1;student43;student27;49;0.4304
c.basic-io.base7-1;student31;student63;49;0.476449
c.basic-io.base7-1;student31;student27;49;0.393092
c.basic-io.base7-1;student31;student9;49;0.494186
c.basic-io.base7-1;student31;student7;49;0.14157
c.basic-io.base7-1;student25;student7;49;0.134367
c.basic-io.base7-1;student25;student3;49;0.351456
c.basic-io.base7-1;student12;student15;49;0.355126
c.basic-io.base7-1;student3;student47;49;0.232836
c.basic-io.base7-1;student8;student39;49;0.360714
c.basic-io.base7-1;student7;student47;49;0.211125
c.basic-io.base7-1;student7;student19;49;0.201024
c.basic-io.base7-1;student9;student29;49;0.427711
c.basic-io.base7-1;student9;student14;49;0.266667
c.basic-io.base7-1;student4;student27;49;0.454867
c.basic-io.base7-1;student67;student42;49;0.287798
c.basic-io.base7-1;student49;student9;49;0.308848
c.basic-io.base7-1;student39;student4;49;0.429942
c.basic-io.base7-1;student45;student19;49;0.336134
c.basic-io.base7-1;student45;student31;49;0.454861
c.basic-io.base7-1;student45;student13;49;0.439655
c.basic-io.base7-1;student30;student10;49;0.482026
c.basic-io.base7-1;student66;student9;49;0.274571
c.basic-io.base7-1;student3;student55;50;0.487013
c.basic-io.base7-1;student20;student7;50;0.207827
c.basic-io.base7-1;student20;student42;50;0.244105
c.basic-io.base7-1;student61;student68;50;0.328947
c.basic-io.base7-1;student51;student26;50;0.264463
c.basic-io.base7-1;student50;student26;50;0.26501
c.basic-io.base7-1;student40;student3;50;0.418112
c.basic-io.base7-1;student60;student6;50;0.129472
c.basic-io.base7-1;student35;student5;50;0.349481
c.basic-io.base7-1;student62;student7;50;0.195714
c.basic-io.base7-1;student62;student11;50;0.355476
c.basic-io.base7-1;student3;student32;50;0.219298
c.basic-io.base7-1;student63;student11;50;0.355476
c.basic-io.base7-1;student7;student63;50;0.195714
c.basic-io.base7-1;student10;student48;50;0.415468
c.basic-io.base7-1;student25;student4;50;0.351923
c.basic-io.base7-1;student25;student64;50;0.502732
c.basic-io.base7-1;student12;student19;50;0.311526
c.basic-io.base7-1;student30;student15;50;0.418155
c.basic-io.base7-1;student12;student39;50;0.285714
c.basic-io.base7-1;student8;student56;50;0.349206
c.basic-io.base7-1;student8;student47;50;0.294032
c.basic-io.base7-1;student10;student47;50;0.418605
c.basic-io.base7-1;student27;student41;50;0.46087
c.basic-io.base7-1;student4;student55;51;0.45628
c.basic-io.base7-1;student17;student44;51;0.286517
c.basic-io.base7-1;student16;student44;51;0.286517
c.basic-io.base7-1;student46;student47;51;0.303602
c.basic-io.base7-1;student40;student4;51;0.396975
c.basic-io.base7-1;student50;student32;51;0.294258
c.basic-io.base7-1;student44;student5;51;0.287379
c.basic-io.base7-1;student26;student7;51;0.129074
c.basic-io.base7-1;student3;student48;51;0.41556
c.basic-io.base7-1;student37;student31;51;0.286798
c.basic-io.base7-1;student21;student7;51;0.23277
c.basic-io.base7-1;student32;student7;51;0.310386
c.basic-io.base7-1;student9;student27;51;0.321739
c.basic-io.base7-1;student31;student11;51;0.491296
c.basic-io.base7-1;student31;student5;51;0.364562
c.basic-io.base7-1;student32;student4;51;0.237736
c.basic-io.base7-1;student8;student24;51;0.231332
c.basic-io.base7-1;student25;student8;51;0.246892
c.basic-io.base7-1;student30;student19;51;0.360258
c.basic-io.base7-1;student30;student9;51;0.347899
c.basic-io.base7-1;student50;student47;51;0.274286
c.basic-io.base7-1;student61;student15;51;0.370044
c.basic-io.base7-1;student61;student7;51;0.263625
c.basic-io.base7-1;student13;student15;51;0.234277
c.basic-io.base7-1;student13;student41;51;0.425331
c.basic-io.base7-1;student59;student11;51;0.344704
c.basic-io.base7-1;student59;student19;51;0.401051
c.basic-io.base7-1;student44;student18;51;0.276636
c.basic-io.base7-1;student60;student8;51;0.260518
c.basic-io.base7-1;student60;student5;51;0.222904
c.basic-io.base7-1;student51;student32;51;0.294258
c.basic-io.base7-1;student51;student47;51;0.273894
c.basic-io.base7-1;student25;student15;51;0.174743
c.basic-io.base7-1;student21;student42;51;0.241427
c.basic-io.base7-1;student47;student19;51;0.289593
c.basic-io.base7-1;student41;student14;51;0.44942
c.basic-io.base7-1;student33;student4;51;0.406028
c.basic-io.base7-1;student33;student43;51;0.405063
c.basic-io.base7-1;student33;student3;51;0.478648
c.basic-io.base7-1;student28;student38;51;0.454148
c.basic-io.base7-1;student66;student26;51;0.270928
c.basic-io.base7-1;student3;student34;52;0.281593
c.basic-io.base7-1;student4;student48;52;0.379888
c.basic-io.base7-1;student37;student3;52;0.208599
c.basic-io.base7-1;student51;student55;52;0.255102
c.basic-io.base7-1;student46;student55;52;0.385233
c.basic-io.base7-1;student46;student31;52;0.433862
c.basic-io.base7-1;student20;student12;52;0.375204
c.basic-io.base7-1;student20;student43;52;0.423756
c.basic-io.base7-1;student20;student29;52;0.394107
c.basic-io.base7-1;student69;student68;52;0.324401
c.basic-io.base7-1;student50;student55;52;0.255428
c.basic-io.base7-1;student40;student10;52;0.382084
c.basic-io.base7-1;student50;student12;52;0.249245
c.basic-io.base7-1;student62;student19;52;0.397569
c.basic-io.base7-1;student3;student43;52;0.272277
c.basic-io.base7-1;student10;student32;52;0.262755
c.basic-io.base7-1;student43;student4;52;0.330606
c.basic-io.base7-1;student10;student19;52;0.335628
c.basic-io.base7-1;student21;student29;52;0.310044
c.basic-io.base7-1;student25;student52;52;0.25641
c.basic-io.base7-1;student18;student31;52;0.354779
c.basic-io.base7-1;student25;student31;52;0.378882
c.basic-io.base7-1;student25;student42;52;0.189607
c.basic-io.base7-1;student3;student56;52;0.285229
c.basic-io.base7-1;student7;student6;52;0.139842
c.basic-io.base7-1;student38;student4;52;0.438625
c.basic-io.base7-1;student4;student56;52;0.330523
c.basic-io.base7-1;student63;student19;52;0.397569
c.basic-io.base7-1;student41;student24;52;0.293395
c.basic-io.base7-1;student49;student10;52;0.431373
c.basic-io.base7-1;student15;student39;52;0.200569
c.basic-io.base7-1;student45;student18;52;0.229402
c.basic-io.base7-1;student45;student17;52;0.232633
c.basic-io.base7-1;student30;student11;52;0.310345
c.basic-io.base7-1;student16;student45;52;0.232633
c.basic-io.base7-1;student16;student31;52;0.355556
c.basic-io.base7-1;student30;student24;52;0.258929
c.basic-io.base7-1;student30;student28;52;0.369384
c.basic-io.base7-1;student13;student49;52;0.431239
c.basic-io.base7-1;student13;student11;52;0.446602
c.basic-io.base7-1;student59;student15;52;0.36
c.basic-io.base7-1;student68;student70;52;0.327707
c.basic-io.base7-1;student17;student31;52;0.355556
c.basic-io.base7-1;student51;student12;52;0.248869
c.basic-io.base7-1;student4;student34;53;0.284542
c.basic-io.base7-1;student9;student55;53;0.33125
c.basic-io.base7-1;student13;student44;53;0.372881
c.basic-io.base7-1;student20;student3;53;0.413194
c.basic-io.base7-1;student62;student3;53;0.423009
c.basic-io.base7-1;student4;student63;53;0.434164
c.basic-io.base7-1;student7;student55;53;0.246898
c.basic-io.base7-1;student26;student55;53;0.28871
c.basic-io.base7-1;student40;student13;53;0.445525
c.basic-io.base7-1;student46;student7;53;0.198276
c.basic-io.base7-1;student46;student19;53;0.398964
c.basic-io.base7-1;student40;student61;53;0.3125
c.basic-io.base7-1;student40;student24;53;0.273273
c.basic-io.base7-1;student50;student10;53;0.282953
c.basic-io.base7-1;student13;student29;53;0.443548
c.basic-io.base7-1;student59;student3;53;0.426786
c.basic-io.base7-1;student51;student10;53;0.282456
c.basic-io.base7-1;student29;student5;53;0.323293
c.basic-io.base7-1;student43;student21;53;0.449045
c.basic-io.base7-1;student12;student34;53;0.308333
c.basic-io.base7-1;student35;student8;53;0.231908
c.basic-io.base7-1;student35;student7;53;0.167513
c.basic-io.base7-1;student35;student4;53;0.367067
c.basic-io.base7-1;student12;student21;53;0.378029
c.basic-io.base7-1;student12;student31;53;0.317073
c.basic-io.base7-1;student30;student26;53;0.321252
c.basic-io.base7-1;student30;student25;53;0.290429
c.basic-io.base7-1;student50;student14;53;0.414184
c.basic-io.base7-1;student51;student14;53;0.413598
c.basic-io.base7-1;student12;student56;53;0.310127
c.basic-io.base7-1;student26;student15;53;0.278539
c.basic-io.base7-1;student26;student39;53;0.394
c.basic-io.base7-1;student62;student15;53;0.366942
c.basic-io.base7-1;student62;student8;53;0.318417
c.basic-io.base7-1;student62;student4;53;0.395431
c.basic-io.base7-1;student37;student4;53;0.210443
c.basic-io.base7-1;student3;student38;53;0.457189
c.basic-io.base7-1;student3;student63;53;0.424779
c.basic-io.base7-1;student3;student6;53;0.219844
c.basic-io.base7-1;student31;student14;53;0.235099
c.basic-io.base7-1;student27;student42;53;0.253772
c.basic-io.base7-1;student11;student14;53;0.248764
c.basic-io.base7-1;student47;student42;53;0.221622
c.basic-io.base7-1;student56;student19;53;0.359375
c.basic-io.base7-1;student39;student7;53;0.118926
c.basic-io.base7-1;student8;student63;53;0.318417
c.basic-io.base7-1;student15;student63;53;0.366942
c.basic-io.base7-1;student15;student32;53;0.226077
c.basic-io.base7-1;student38;student11;53;0.282575
c.basic-io.base7-1;student38;student9;53;0.28754
c.basic-io.base7-1;student38;student7;53;0.194724
c.basic-io.base7-1;student55;student47;53;0.377551
c.basic-io.base7-1;student49;student42;53;0.211718
c.basic-io.base7-1;student49;student47;53;0.360584
c.basic-io.base7-1;student49;student43;53;0.388013
c.basic-io.base7-1;student33;student42;53;0.220708
c.basic-io.base7-1;student33;student7;53;0.206767
c.basic-io.base7-1;student28;student29;53;0.399614
c.basic-io.base7-1;student71;student24;53;0.275676
c.basic-io.base7-1;student45;student47;53;0.394659
c.basic-io.base7-1;student45;student10;53;0.407035
c.basic-io.base7-1;student45;student37;53;0.327666
c.basic-io.base7-1;student45;student25;53;0.231405
c.basic-io.base7-1;student45;student44;53;0.24878
c.basic-io.base7-1;student45;student49;53;0.376176
c.basic-io.base7-1;student46;student26;54;0.514337
c.basic-io.base7-1;student46;student39;54;0.236332
c.basic-io.base7-1;student20;student9;54;0.382143
c.basic-io.base7-1;student20;student4;54;0.400691
c.basic-io.base7-1;student61;student48;54;0.348726
c.basic-io.base7-1;student40;student12;54;0.329932
c.basic-io.base7-1;student40;student42;54;0.233266
c.basic-io.base7-1;student50;student38;54;0.298065
c.basic-io.base7-1;student69;student4;54;0.226833
c.basic-io.base7-1;student13;student31;54;0.460922
c.basic-io.base7-1;student13;student6;54;0.172962
c.basic-io.base7-1;student59;student8;54;0.321429
c.basic-io.base7-1;student35;student12;54;0.322476
c.basic-io.base7-1;student35;student3;54;0.29288
c.basic-io.base7-1;student3;student21;54;0.448517
c.basic-io.base7-1;student62;student10;54;0.386207
c.basic-io.base7-1;student70;student4;54;0.226833
c.basic-io.base7-1;student32;student11;54;0.176692
c.basic-io.base7-1;student32;student27;54;0.258186
c.basic-io.base7-1;student32;student5;54;0.159063
c.basic-io.base7-1;student52;student5;54;0.238289
c.basic-io.base7-1;student55;student11;54;0.320189
c.basic-io.base7-1;student10;student63;54;0.410345
c.basic-io.base7-1;student43;student7;54;0.254499
c.basic-io.base7-1;student32;student29;54;0.156566
c.basic-io.base7-1;student8;student27;54;0.300161
c.basic-io.base7-1;student25;student27;54;0.284734
c.basic-io.base7-1;student30;student31;54;0.273267
c.basic-io.base7-1;student30;student49;54;0.383518
