c.ints.betole-1;student1;student2;0;1.0
c.ints.betole-1;student3;student4;6;0.681564
c.ints.betole-1;student3;student5;6;0.681564
c.ints.betole-1;student3;student6;7;0.621849
c.ints.betole-1;student3;student7;9;0.649457
c.ints.betole-1;student5;student8;10;0.697183
c.ints.betole-1;student4;student8;10;0.697183
c.ints.betole-1;student6;student8;11;0.686411
c.ints.betole-1;student9;student4;11;0.686747
c.ints.betole-1;student9;student5;11;0.686747
c.ints.betole-1;student9;student3;11;0.731988
c.ints.betole-1;student10;student4;12;0.746875
c.ints.betole-1;student10;student5;12;0.746875
c.ints.betole-1;student10;student11;12;0.698113
c.ints.betole-1;student5;student11;12;0.717868
c.ints.betole-1;student4;student11;12;0.717868
c.ints.betole-1;student7;student8;12;0.54
c.ints.betole-1;student3;student8;12;0.566343
c.ints.betole-1;student9;student7;12;0.642857
c.ints.betole-1;student9;student6;12;0.677612
c.ints.betole-1;student7;student4;13;0.454301
c.ints.betole-1;student10;student6;13;0.741433
c.ints.betole-1;student5;student7;13;0.454301
c.ints.betole-1;student6;student11;13;0.708075
c.ints.betole-1;student12;student13;13;0.542614
c.ints.betole-1;student10;student8;14;0.613383
c.ints.betole-1;student6;student7;14;0.448
c.ints.betole-1;student9;student8;14;0.653137
c.ints.betole-1;student14;student15;15;0.78125
c.ints.betole-1;student10;student7;17;0.580737
c.ints.betole-1;student3;student11;17;0.601671
c.ints.betole-1;student3;student16;17;0.632479
c.ints.betole-1;student9;student10;17;0.619808
c.ints.betole-1;student17;student18;17;0.656442
c.ints.betole-1;student7;student16;18;0.463807
c.ints.betole-1;student3;student10;18;0.623595
c.ints.betole-1;student19;student13;18;0.506369
c.ints.betole-1;student20;student17;18;0.449173
c.ints.betole-1;student16;student8;19;0.598662
c.ints.betole-1;student12;student19;19;0.472067
c.ints.betole-1;student21;student22;20;0.695783
c.ints.betole-1;student23;student24;20;0.477273
c.ints.betole-1;student11;student8;20;0.631746
c.ints.betole-1;student7;student11;21;0.418919
c.ints.betole-1;student9;student11;21;0.604863
c.ints.betole-1;student9;student16;21;0.55873
c.ints.betole-1;student20;student18;21;0.486811
c.ints.betole-1;student5;student16;22;0.631902
c.ints.betole-1;student4;student16;22;0.631902
c.ints.betole-1;student6;student16;23;0.6231
c.ints.betole-1;student25;student20;23;0.393873
c.ints.betole-1;student12;student24;24;0.431319
c.ints.betole-1;student25;student17;25;0.480114
c.ints.betole-1;student21;student15;26;0.48324
c.ints.betole-1;student23;student13;26;0.353293
c.ints.betole-1;student26;student27;26;0.668394
c.ints.betole-1;student20;student28;26;0.332542
c.ints.betole-1;student19;student24;27;0.46875
c.ints.betole-1;student10;student16;27;0.510836
c.ints.betole-1;student12;student29;28;0.391304
c.ints.betole-1;student30;student31;28;0.589118
c.ints.betole-1;student23;student19;29;0.364943
c.ints.betole-1;student13;student24;29;0.493902
c.ints.betole-1;student12;student23;29;0.403141
c.ints.betole-1;student25;student18;29;0.56686
c.ints.betole-1;student29;student13;29;0.455975
c.ints.betole-1;student21;student25;30;0.408333
c.ints.betole-1;student17;student28;30;0.335294
c.ints.betole-1;student9;student32;30;0.515493
c.ints.betole-1;student33;student8;31;0.606918
c.ints.betole-1;student29;student19;31;0.440397
c.ints.betole-1;student34;student18;31;0.494413
c.ints.betole-1;student35;student36;32;0.809628
c.ints.betole-1;student35;student37;32;0.775378
c.ints.betole-1;student36;student38;32;0.814004
c.ints.betole-1;student37;student38;32;0.820569
c.ints.betole-1;student24;student39;32;0.235495
c.ints.betole-1;student15;student22;32;0.481771
c.ints.betole-1;student16;student11;33;0.519757
c.ints.betole-1;student40;student41;33;0.519814
c.ints.betole-1;student40;student42;33;0.523364
c.ints.betole-1;student43;student44;34;0.584179
c.ints.betole-1;student9;student33;34;0.433702
c.ints.betole-1;student20;student45;35;0.401869
c.ints.betole-1;student23;student29;35;0.275482
c.ints.betole-1;student20;student46;35;0.32304
c.ints.betole-1;student33;student4;35;0.540166
c.ints.betole-1;student33;student7;35;0.415423
c.ints.betole-1;student33;student6;35;0.502577
c.ints.betole-1;student33;student5;35;0.540166
c.ints.betole-1;student25;student45;35;0.44186
c.ints.betole-1;student25;student33;35;0.520305
c.ints.betole-1;student47;student20;36;0.388368
c.ints.betole-1;student25;student28;36;0.254237
c.ints.betole-1;student25;student22;36;0.389175
c.ints.betole-1;student25;student24;36;0.46648
c.ints.betole-1;student34;student24;36;0.364162
c.ints.betole-1;student21;student40;36;0.431034
c.ints.betole-1;student21;student42;36;0.364432
c.ints.betole-1;student21;student20;36;0.333333
c.ints.betole-1;student21;student41;36;0.364432
c.ints.betole-1;student28;student18;36;0.52649
c.ints.betole-1;student48;student18;36;0.503049
c.ints.betole-1;student32;student16;36;0.36747
c.ints.betole-1;student39;student17;36;0.341317
c.ints.betole-1;student47;student25;37;0.355263
c.ints.betole-1;student3;student33;37;0.409207
c.ints.betole-1;student39;student18;37;0.156522
c.ints.betole-1;student27;student46;37;0.32852
c.ints.betole-1;student32;student4;37;0.433048
c.ints.betole-1;student5;student32;37;0.501377
