c.ints.twos-compl-table-1;student1;student2;2;0.876984
c.ints.twos-compl-table-1;student3;student4;5;0.749117
c.ints.twos-compl-table-1;student5;student6;9;0.594512
c.ints.twos-compl-table-1;student7;student5;11;0.496951
c.ints.twos-compl-table-1;student8;student9;12;0.658192
c.ints.twos-compl-table-1;student10;student9;12;0.658192
c.ints.twos-compl-table-1;student6;student11;13;0.586957
c.ints.twos-compl-table-1;student7;student11;13;0.671733
c.ints.twos-compl-table-1;student12;student9;13;0.761905
c.ints.twos-compl-table-1;student13;student4;14;0.607143
c.ints.twos-compl-table-1;student13;student14;14;0.72028
c.ints.twos-compl-table-1;student9;student15;14;0.755776
c.ints.twos-compl-table-1;student3;student13;14;0.797101
c.ints.twos-compl-table-1;student6;student16;15;0.519553
c.ints.twos-compl-table-1;student6;student17;15;0.519553
c.ints.twos-compl-table-1;student5;student11;15;0.488439
c.ints.twos-compl-table-1;student12;student10;15;0.710059
c.ints.twos-compl-table-1;student12;student8;15;0.710059
c.ints.twos-compl-table-1;student5;student16;16;0.511976
c.ints.twos-compl-table-1;student5;student17;16;0.511976
c.ints.twos-compl-table-1;student18;student19;16;0.656642
c.ints.twos-compl-table-1;student20;student21;17;0.7737
c.ints.twos-compl-table-1;student8;student15;17;0.705015
c.ints.twos-compl-table-1;student10;student15;17;0.705015
c.ints.twos-compl-table-1;student7;student6;18;0.565217
c.ints.twos-compl-table-1;student6;student22;18;0.636986
c.ints.twos-compl-table-1;student23;student9;18;0.718663
c.ints.twos-compl-table-1;student24;student9;18;0.77193
c.ints.twos-compl-table-1;student25;student9;19;0.698061
c.ints.twos-compl-table-1;student26;student27;19;0.697329
c.ints.twos-compl-table-1;student28;student27;19;0.697329
c.ints.twos-compl-table-1;student4;student14;19;0.580645
c.ints.twos-compl-table-1;student29;student4;19;0.537367
c.ints.twos-compl-table-1;student27;student4;19;0.666667
c.ints.twos-compl-table-1;student3;student14;19;0.672297
c.ints.twos-compl-table-1;student3;student29;19;0.577206
c.ints.twos-compl-table-1;student29;student30;20;0.501945
c.ints.twos-compl-table-1;student31;student27;20;0.788644
c.ints.twos-compl-table-1;student32;student20;20;0.420054
c.ints.twos-compl-table-1;student3;student27;20;0.677215
c.ints.twos-compl-table-1;student32;student33;20;0.512563
c.ints.twos-compl-table-1;student13;student29;20;0.565217
c.ints.twos-compl-table-1;student27;student10;20;0.528358
c.ints.twos-compl-table-1;student27;student8;20;0.528358
c.ints.twos-compl-table-1;student34;student33;20;0.526316
c.ints.twos-compl-table-1;student22;student16;21;0.625
c.ints.twos-compl-table-1;student35;student9;21;0.638806
c.ints.twos-compl-table-1;student13;student36;21;0.615385
c.ints.twos-compl-table-1;student17;student22;21;0.618375
c.ints.twos-compl-table-1;student37;student38;21;0.587432
c.ints.twos-compl-table-1;student27;student39;21;0.520661
c.ints.twos-compl-table-1;student40;student37;21;0.579946
c.ints.twos-compl-table-1;student41;student7;22;0.535326
c.ints.twos-compl-table-1;student41;student6;22;0.504902
c.ints.twos-compl-table-1;student24;student15;22;0.711599
c.ints.twos-compl-table-1;student6;student29;22;0.519856
c.ints.twos-compl-table-1;student42;student13;22;0.723776
c.ints.twos-compl-table-1;student43;student4;22;0.559727
c.ints.twos-compl-table-1;student43;student29;22;0.627306
c.ints.twos-compl-table-1;student44;student9;22;0.599379
c.ints.twos-compl-table-1;student3;student43;22;0.618056
c.ints.twos-compl-table-1;student11;student16;23;0.485465
c.ints.twos-compl-table-1;student17;student11;23;0.482659
c.ints.twos-compl-table-1;student31;student45;23;0.663014
c.ints.twos-compl-table-1;student25;student15;23;0.653846
c.ints.twos-compl-table-1;student31;student4;23;0.664723
c.ints.twos-compl-table-1;student46;student47;23;0.651596
c.ints.twos-compl-table-1;student46;student9;23;0.707165
c.ints.twos-compl-table-1;student48;student49;23;0.669405
c.ints.twos-compl-table-1;student5;student22;23;0.55082
c.ints.twos-compl-table-1;student13;student39;23;0.318841
c.ints.twos-compl-table-1;student44;student15;23;0.623418
c.ints.twos-compl-table-1;student6;student50;23;0.435616
c.ints.twos-compl-table-1;student51;student52;23;0.26195
c.ints.twos-compl-table-1;student41;student5;24;0.398964
c.ints.twos-compl-table-1;student23;student15;24;0.62931
c.ints.twos-compl-table-1;student12;student24;24;0.71118
c.ints.twos-compl-table-1;student13;student27;24;0.655405
c.ints.twos-compl-table-1;student42;student4;24;0.650485
c.ints.twos-compl-table-1;student43;student13;24;0.556314
c.ints.twos-compl-table-1;student44;student12;24;0.656958
c.ints.twos-compl-table-1;student53;student40;24;0.540761
c.ints.twos-compl-table-1;student53;student38;24;0.540761
c.ints.twos-compl-table-1;student31;student3;24;0.636076
c.ints.twos-compl-table-1;student7;student54;24;0.204651
c.ints.twos-compl-table-1;student3;student55;24;0.634286
c.ints.twos-compl-table-1;student35;student10;24;0.583562
c.ints.twos-compl-table-1;student35;student8;24;0.583562
c.ints.twos-compl-table-1;student17;student50;24;0.490515
c.ints.twos-compl-table-1;student16;student50;24;0.490515
c.ints.twos-compl-table-1;student56;student9;24;0.665625
c.ints.twos-compl-table-1;student5;student29;24;0.453925
c.ints.twos-compl-table-1;student6;student9;25;0.520505
c.ints.twos-compl-table-1;student57;student58;25;0.626943
c.ints.twos-compl-table-1;student12;student35;25;0.695015
c.ints.twos-compl-table-1;student12;student25;25;0.653959
c.ints.twos-compl-table-1;student26;student4;25;0.611276
c.ints.twos-compl-table-1;student28;student4;25;0.611276
c.ints.twos-compl-table-1;student30;student59;25;0.378151
c.ints.twos-compl-table-1;student4;student30;25;0.45515
c.ints.twos-compl-table-1;student9;student4;25;0.484277
c.ints.twos-compl-table-1;student3;student5;25;0.529032
c.ints.twos-compl-table-1;student60;student29;25;0.533333
c.ints.twos-compl-table-1;student61;student29;25;0.533333
c.ints.twos-compl-table-1;student32;student21;25;0.406619
c.ints.twos-compl-table-1;student4;student55;25;0.608108
c.ints.twos-compl-table-1;student20;student33;25;0.458453
c.ints.twos-compl-table-1;student62;student30;26;0.370879
c.ints.twos-compl-table-1;student29;student16;26;0.49635
c.ints.twos-compl-table-1;student29;student14;26;0.56446
c.ints.twos-compl-table-1;student39;student63;26;0.510471
c.ints.twos-compl-table-1;student24;student35;26;0.622222
c.ints.twos-compl-table-1;student39;student4;26;0.329787
c.ints.twos-compl-table-1;student39;student9;26;0.314763
c.ints.twos-compl-table-1;student27;student9;26;0.475155
c.ints.twos-compl-table-1;student36;student4;26;0.522988
c.ints.twos-compl-table-1;student3;student30;26;0.456081
c.ints.twos-compl-table-1;student7;student16;26;0.491228
c.ints.twos-compl-table-1;student7;student17;26;0.491228
c.ints.twos-compl-table-1;student3;student6;26;0.468966
c.ints.twos-compl-table-1;student57;student9;26;0.687688
c.ints.twos-compl-table-1;student3;student36;26;0.569733
c.ints.twos-compl-table-1;student3;student28;26;0.676829
c.ints.twos-compl-table-1;student3;student26;26;0.676829
c.ints.twos-compl-table-1;student25;student35;26;0.592593
c.ints.twos-compl-table-1;student12;student23;26;0.632184
c.ints.twos-compl-table-1;student64;student30;26;0.370879
c.ints.twos-compl-table-1;student65;student59;26;0.347578
c.ints.twos-compl-table-1;student3;student42;26;0.644737
c.ints.twos-compl-table-1;student24;student10;26;0.646575
c.ints.twos-compl-table-1;student24;student8;26;0.646575
c.ints.twos-compl-table-1;student17;student29;26;0.492754
c.ints.twos-compl-table-1;student9;student29;26;0.363322
c.ints.twos-compl-table-1;student42;student14;26;0.665574
c.ints.twos-compl-table-1;student5;student9;26;0.522523
c.ints.twos-compl-table-1;student66;student10;26;0.528767
c.ints.twos-compl-table-1;student66;student8;26;0.528767
c.ints.twos-compl-table-1;student11;student54;26;0.20362
c.ints.twos-compl-table-1;student34;student21;26;0.581461
c.ints.twos-compl-table-1;student58;student46;27;0.637306
c.ints.twos-compl-table-1;student35;student23;27;0.609948
c.ints.twos-compl-table-1;student65;student62;27;0.322222
c.ints.twos-compl-table-1;student64;student65;27;0.322222
c.ints.twos-compl-table-1;student53;student67;27;0.547112
c.ints.twos-compl-table-1;student46;student10;27;0.624642
c.ints.twos-compl-table-1;student46;student8;27;0.624642
c.ints.twos-compl-table-1;student46;student68;27;0.592486
c.ints.twos-compl-table-1;student35;student27;27;0.533724
c.ints.twos-compl-table-1;student35;student15;27;0.69341
c.ints.twos-compl-table-1;student9;student22;27;0.477707
c.ints.twos-compl-table-1;student5;student14;27;0.357143
c.ints.twos-compl-table-1;student5;student4;27;0.417178
c.ints.twos-compl-table-1;student3;student39;27;0.337017
c.ints.twos-compl-table-1;student5;student56;27;0.459375
c.ints.twos-compl-table-1;student5;student69;27;0.519481
c.ints.twos-compl-table-1;student5;student50;27;0.508523
c.ints.twos-compl-table-1;student37;student67;27;0.570552
c.ints.twos-compl-table-1;student13;student55;27;0.513514
